RAGA	THAAT	TIME	AAROHA	AVAROHA	VADI	SAMVADI	PAKAD	JATI	
Aarabhi	Bilaval	"Night, 9-12"	"S,R,m,P,D,S'"	"S',N,D,P,m,G,R,S"	S	m	'D S R m G R S 'N 'D S	Audav-Sampurna	
Abhogi	Kafi	"Early Night, 9-12"	"S,R,g,m,D,S'"	"S',D,m,g,R,S"	m	S	'D S R g m R g m R S	Audav-Audav	
Adana	Asavari	"Late Night, 12-3"	"S,R,g,M,P,n,P,S'"	"S',d,n,P,g,M,R,s"	S'	P	S d n S' d n P M P g M R s	Audav-Sampurna	
Ahir Bhairav	Bhairav	"At daybreak, 6-9"	"S,r,G,m,P,D,n,S'"	"S',n,D,P,m,G,r,S"	m	S	S r G M G M r _ _ _ r S	Sampurna-Sampurna	
Ahiri	Bhairavi	"Morning, 6-9"	"S,r,g,m,P,D,n,S'"	"S',N,D,P,m,G,R,S"	m	S	P D n D m g r g S	Sampurna-Sampurna	
Alhaiya Bilaval	Bilaval	"Late Morning, 9-12"	"S,G,R,G,P,N,D,N,S'"	"S',N,D,n,D,P,M,G,M,R,S"	D	G	G R P D N S	Sampurna	
Amritavarshini	Kalyaan	"Evening, 6-9"	"S,G,M,P,N,S'"	"S',N,P,M,G,S"	P	S	G M P N S' N P M P G M P	Audav-Audav	
Asavari	Asavari	"Late Morning, 9-12"	"S,R,m,P,d,S'"	"S',n,D,P,m,G,r,S"	d	g	R m P n D P	Audav-Sampurna	
Asavari sindhura	Asavari	"Morning, 9-12"	"S,R,m,P,D,S'"	"S',n,D,P,d,m,P,g,R,m,m,g,S,R,S"	S'	P	m P D S' n d P D m P D S'	Audav-Sampurna	
Anandbhairavi	Bhairavi	"Morning, 6-9"	"S,r,G,m,P,m,P,D,N,S'"	"S',D,n,P,m,G,m,r,S"	m	S	r G m P S' D n P m G m r	Audav-Sampurna	
Bageshri	Kafi	"Around Midnight, 12-3"	"N,S,g,m,D,n,S"	"SÕ,n,D,m,P,D,g,m,g,R,S"	m	S	D n s m m P D m g R S	Audav-Sampurna	
Bahar	Kafi	"Around Midnight, 12-3"	"n,S,m,m,P,g,m,n,D,N,S"	"S',n,P,m,P,g,m,R,S"	m	S	S m m P g m n D N S'	Shadav-Shadav	
Barari	Marva	"Evening, 6-9"	"S,'N,r,G,r,G,P,M,D,S"	"S',N,r,N,D,M,G,P,G,r,S"	G	D	S P G r G P M D S' r' N D P G r S	Shadav-Sampoorna	
Basant	Poorvi	"Spring Season , 3-6"	"S,G,M,d,r',S'"	"S',N,d,P,M,G,M,G,r,S"	S'	P	M d r' S' N d P M G M G	Audav-Sampurna	
Bahar basanth	Poorvi	"Late Night, 12-3"	"S,m,m,P,g,m,n,D,N,S'"	"S',N,d,P,M,G,M,G,M,G,r,S"	S'	P	S m P g m n D N S' N d S' N d P M G M G M G r S	mishra/Sankeerna	
Bangalbhairav	Bhairav	"At daybreak, 6-9"	"S,r,G,m,P,d,S'"	"S',d,P,m,P,G,m,r,S"	d	r	S 'd S S r d d P G m r s	Shadav-Shadav	
Barva	Kafi	"Afternoon, 12-3"	"S,R,m,P,D,N,S'"	"S',n,D,P,m,P,g,R,g,S"	S'	P	G R g S N' S R m P D m G R g S	Audav-Sampurna	
Badhans	Khamaj	"Afternoon, 12-3"	"S,R,m,R,m,P,N,S'"	"S,n,P,m,P,m,R,R,'N,S"	R	P	S R m n P m R m 'N R S	Audav-Shadav	
Bhairav	Bhairav	"At daybreak, 6-9"	"S,G,m,P,G,m,d,S'"	"S',N,S',d,P,G,m,P,G,m,r,S"	d	r	S G m P G m d P G m P G m r S	Sampurna	
Bhairavi	Bhairavi	"Morning/concert end,6-9"	"S,r,g,m,P,d,n,S'"	"S',n,d,P,m,g,r,S"	P	S	n S g m d P g m P g m r S	Sampurna	
Bhatiyar	Bhairav	"Early Morning, 3-6"	"S,r,S,S,m,P,G,M,D,S'"	"S',r',N,D,P,D,P,m,P,G,r,S"	m	S	S D m P G P G r S	Sampurna-Sampurna	
Bhankar	Bhairav	"At daybreak, 3-6"	"N,r,S,G,m,P,G,M,D,M,G,M,D,S,N,r',S'"	"S',r',N,D,M,m,G,m,G,r,S"	P	S	S' r' N D M m G m r S	Sampurna	
