Source,Target,Label,ID,Type,Weight
2,177,'thaat',,,
3,178,'thaat',,,
4,174,'thaat',,,
5,175,'thaat',,,
6,176,'thaat',,,
7,177,'thaat',,,
8,179,'thaat',,,
10,174,'thaat',,,
11,174,'thaat',,,
9,176,'thaat',,,
13,178,'thaat',,,
14,178,'thaat',,,
17,181,'thaat',,,
19,182,'thaat',,,
15,182,'thaat',,,
16,175,'thaat',,,
18,178,'thaat',,,
12,180,'thaat',,,
21,175,'thaat',,,
22,176,'thaat',,,
24,175,'thaat',,,
23,175,'thaat',,,
25,178,'thaat',,,
20,177,'thaat',,,
26,178,'thaat',,,
27,176,'thaat',,,
28,179,'thaat',,,
30,181,'thaat',,,
31,177,'thaat',,,
32,177,'thaat',,,
33,176,'thaat',,,
29,179,'thaat',,,
34,178,'thaat',,,
36,176,'thaat',,,
35,179,'thaat',,,
81,179,'thaat',,,
37,179,'thaat',,,
38,174,'thaat',,,
42,174,'thaat',,,
40,180,'thaat',,,
41,177,'thaat',,,
44,177,'thaat',,,
45,175,'thaat',,,
46,177,'thaat',,,
43,174,'thaat',,,
39,179,'thaat',,,
47,182,'thaat',,,
49,178,'thaat',,,
48,178,'thaat',,,
50,177,'thaat',,,
51,178,'thaat',,,
52,174,'thaat',,,
55,180,'thaat',,,
53,180,'thaat',,,
54,179,'thaat',,,
56,180,'thaat',,,
57,175,'thaat',,,
59,183,'thaat',,,
60,175,'thaat',,,
61,178,'thaat',,,
58,182,'thaat',,,
62,179,'thaat',,,
63,177,'thaat',,,
64,178,'thaat',,,
65,177,'thaat',,,
66,179,'thaat',,,
67,180,'thaat',,,
70,179,'thaat',,,
68,178,'thaat',,,
71,177,'thaat',,,
73,174,'thaat',,,
69,179,'thaat',,,
74,180,'thaat',,,
72,180,'thaat',,,
75,178,'thaat',,,
76,175,'thaat',,,
77,178,'thaat',,,
78,175,'thaat',,,
79,179,'thaat',,,
80,176,'thaat',,,
81,179,'thaat',,,
83,180,'thaat',,,
82,180,'thaat',,,
84,174,'thaat',,,
85,288,'thaat',,,
86,180,'thaat',,,
87,177,'thaat',,,
88,182,'thaat',,,
90,181,'thaat',,,
89,181,'thaat',,,
91,178,'thaat',,,
112,177,'thaat',,,
113,180,'thaat',,,
114,175,'thaat',,,
116,180,'thaat',,,
92,177,'thaat',,,
93,178,'thaat',,,
95,183,'thaat',,,
94,178,'thaat',,,
96,179,'thaat',,,
98,178,'thaat',,,
100,176,'thaat',,,
99,182,'thaat',,,
101,179,'thaat',,,
102,182,'thaat',,,
97,176,'thaat',,,
105,179,'thaat',,,
104,179,'thaat',,,
106,181,'thaat',,,
103,178,'thaat',,,
107,174,'thaat',,,
108,178,'thaat',,,
110,174,'thaat',,,
109,178,'thaat',,,
1,183,'thaat',,,
111,183,'thaat',,,
115,180,'thaat',,,
119,181,'thaat',,,
121,178,'thaat',,,
117,177,'thaat',,,
120,182,'thaat',,,
118,178,'thaat',,,
122,178,'thaat',,,
127,181,'thaat',,,
128,182,'thaat',,,
129,181,'thaat',,,
124,175,'thaat',,,
125,178,'thaat',,,
126,181,'thaat',,,
123,182,'thaat',,,
130,180,'thaat',,,
132,175,'thaat',,,
133,182,'thaat',,,
131,183,'thaat',,,
136,177,'thaat',,,
134,182,'thaat',,,
135,180,'thaat',,,
137,178,'thaat',,,
138,177,'thaat',,,
140,182,'thaat',,,
139,175,'thaat',,,
142,179,'thaat',,,
143,178,'thaat',,,
144,180,'thaat',,,
145,179,'thaat',,,
146,178,'thaat',,,
147,174,'thaat',,,
141,181,'thaat',,,
148,181,'thaat',,,
149,175,'thaat',,,
150,178,'thaat',,,
151,178,'thaat',,,
152,180,'thaat',,,
153,180,'thaat',,,
154,174,'thaat',,,
155,182,'thaat',,,
157,182,'thaat',,,
158,175,'thaat',,,
159,175,'thaat',,,
