ID,Type,Label
1,'raga','(Miya ki) Todi'
2,'raga','Aarabhi'
3,'raga','Abhogi'
4,'raga','Adana'
5,'raga','Ahir Bhairav'
6,'raga','Ahiri'
7,'raga','Alhaiya Bilaval'
8,'raga','Amritavarshini'
9,'raga','Anandbhairavi'
10,'raga','AsavariR'
11,'raga','Asavari sindhura'
12,'raga','Badhans'
13,'raga','Bageshri'
14,'raga','Bahar'
15,'raga','Bahar basanth'
16,'raga','Bangalbhairav'
17,'raga','Barari'
18,'raga','Barva'
19,'raga','Basant'
20,'raga','Bengali'
21,'raga','BhairavR'
22,'raga','BhairaviR'
23,'raga','Bhankar'
24,'raga','Bhatiyar'
25,'raga','Bhim'
26,'raga','Bhimpalasi'
27,'raga','Bhoopal-Todi'
28,'raga','Bhoopali'
29,'raga','Bhup'
30,'raga','Bibhas'
31,'raga','Bihag'
32,'raga','Bihagda'
33,'raga','Bilaskhani Todi'
34,'raga','Brindabani Sarang'
35,'raga','Chandrakanth'
36,'raga','Chandrakauns'
37,'raga','Chhayanat'
38,'raga','Darbari Kanada'
39,'raga','Deepak Kedar'
40,'raga','Desh'
41,'raga','Deshkar'
42,'raga','Desi'
43,'raga','Dev gandhar'
44,'raga','Devagiribilaval'
45,'raga','Devaranjani'
46,'raga','Devgiri'
47,'raga','Dhanabasanti'
48,'raga','Dhanashree'
49,'raga','Dhani'
50,'raga','Durga'
51,'raga','Gaara'
52,'raga','Gandhari'
53,'raga','Gaud Malhar'
54,'raga','Gaud Sarang'
55,'raga','Gavati'
56,'raga','Gorakh Kalyan'
57,'raga','Gouri'
58,'raga','Gowri'
59,'raga','Gujari Todi'
60,'raga','Gunak(ri)ali'
61,'raga','Gunjikanada'
62,'raga','Hamir'
63,'raga','Hamsadhwani'
64,'raga','Hamsakankini'
65,'raga','HemaKalyan'
66,'raga','Hindol'
67,'raga','Jaijaivanti'
68,'raga','Jaikauns'
69,'raga','Jaimini kalyan'
70,'raga','Jaithkalyan'
71,'raga','Jaladhar'
72,'raga','Janasamohini'
73,'raga','Jaunpuri'
74,'raga','Jhinjoti'
75,'raga','Jog'
76,'raga','Jogiya'
77,'raga','KafiR'
78,'raga','Kalingda'
79,'raga','Kamod'
80,'raga','Kaunsi Kanada'
81,'raga','Kedar'
82,'raga','KhamajR'
83,'raga','Khambavati'
84,'raga','Khat'
85,'raga','Kirvani'
86,'raga','Kukubh'
87,'raga','Lachchha'
88,'raga','Lalit'
89,'raga','Lalitapancham'
90,'raga','Lalitpancham'
91,'raga','Lankadahansaarang'
92,'raga','Maand'
93,'raga','Madhmad Sarang'
94,'raga','Madhmadi saarang'
95,'raga','Madhuvanti'
96,'raga','Malashri'
97,'raga','Malav'
98,'raga','Malgunj'
99,'raga','Maligaura'
100,'raga','Malkauns'
101,'raga','Maluha'
102,'raga','Malwi'
103,'raga','Manohari amba'
104,'raga','Marg Bihag'
105,'raga','Maru Bihag'
106,'raga','MarvaR'
107,'raga','Meeramalhaar'
108,'raga','Megh'
109,'raga','Miya ki Malhaar'
110,'raga','Mohiniahi'
111,'raga','Multani'
112,'raga','Naat'
113,'raga','Naat Malhar'
114,'raga','Naatbhairav'
115,'raga','Narayani'
116,'raga','Nata bihag'
117,'raga','Pahadi'
118,'raga','Palasi'
119,'raga','Pancham'
120,'raga','Paraj'
121,'raga','Patdip'
122,'raga','Pilu'
123,'raga','PoorviR'
124,'raga','Prabhat'
125,'raga','Pradeepaki'
126,'raga','Purba'
127,'raga','Puriya'
128,'raga','Puriyadhanashri'
129,'raga','Purva Kalyaan'
130,'raga','Rageshri'
131,'raga','Ram Priya'
132,'raga','Ramkali'
133,'raga','Reva'
134,'raga','Saajgiro'
135,'raga','Samanthasarang'
136,'raga','Sarparda'
137,'raga','Shahana'
138,'raga','Shankara'
139,'raga','Shivabhairav'
140,'raga','Shree'
141,'raga','Shuddha Barari'
142,'raga','Shuddha Kalyaan'
143,'raga','Shuddha Sarang'
144,'raga','Shuklabilaval'
145,'raga','Shyam Kalyaan'
146,'raga','Sindhura Chhaya'
147,'raga','Sindura'
148,'raga','Sohni'
149,'raga','Sourashtrabhairav'
150,'raga','Sugharayi'
151,'raga','Suha'
152,'raga','Tilak Kamod'
153,'raga','Tilang'
154,'raga','Todi abheri'
155,'raga','Triveni'
156,'raga','Uttari gunakali'
157,'raga','Vasanth'
158,'raga','Vasanthmukhari'
159,'raga','Vibhas'
160,'raga','Vihang'
161,'raga','Yaman (Kalyaan)'
162,'raga','YamaniBilaval'
163,'jati','Audav-Audav'
164,'jati','Audav-Sampurna'
165,'jati','Audav-Shadav'
166,'jati','Mishra/Sankeerna'
167,'jati','Sampurna'
168,'jati','Sampurna-Sampurna'
169,'jati','Sampurna-Shadav'
170,'jati','Shadav-Sampoorna'
171,'jati','Shadav-Shadav'
172,'jati','Vakra'
173,'jati','mishra/Sankeerna'
174,'thaat','Asavari'
175,'thaat','Bhairav'
176,'thaat','Bhairavi'
177,'thaat','Bilaval'
178,'thaat','Kafi'
179,'thaat','Kalyaan'
180,'thaat','Khamaj'
181,'thaat','Marva'
182,'thaat','Poorvi'
183,'thaat','Todi'
184,'time','After sunset  3-6'
185,'time','After sunset  6-9'
186,'time','Afternoon  12-3'
187,'time','Afternoon  3-6'
188,'time','Any time day or night'
189,'time','Any time in rains/midnight'
190,'time','Any time in rainy season'
191,'time','Anytime in monsoon'
192,'time','Around Midnight  12-3'
193,'time','At Sunset  3-6'
194,'time','At daybreak'
195,'time','At daybreak  3-6'
196,'time','At daybreak  6-9'
197,'time','Before Sunrise  3-6'
198,'time','Early Afternoon  12-3'
199,'time','Early Morning  3-6'
200,'time','Early Night  9-12'
201,'time','Evening  6-9'
202,'time','Just after sunset  3-6'
203,'time','Late Evening   3-6'
204,'time','Late Evening   6-9'
205,'time','Late Evening  3-6'
206,'time','Late Evening  6-9'
207,'time','Late Morning  9-12'
208,'time','Late Night  12-3'
209,'time','Late Night  9-12'
210,'time','Midnight  9-12'
211,'time','Monsoon'
212,'time','Morning  6-9'
213,'time','Morning  9-12'
214,'time','Morning/concert end 6-9'
215,'time','Night  6-9'
216,'time','Night  9-12'
217,'time','No specific time'
218,'time','Spring Season   3-6'
219,'time','Sunset  3-6'
220,'svar','S'
221,'svar','D'
222,'svar','G'
223,'svar','N'
224,'svar','P'
225,'svar','R'
226,'svar','d'
227,'svar','g'
228,'svar','M'
229,'svar','m'
230,'svar','n'
231,'svar','r'
232,'pakad','''D ''n S G m G m R S'
233,'pakad','''D S R g m R g m R S'
234,'pakad','''D S R m G R S ''N ''D S'
235,'pakad','''D S R m R ''n ''D S m D n D m R R m P m R ''n ''D S'
236,'pakad','''N ''D ''N R G G m G R ''N G R S'
237,'pakad','''N R G M P R G m G  R G R ''N R S'
238,'pakad','''N S M g M P g M g M g S N'' S g r S'
239,'pakad','''N S R ''n ''D ''D ''n ''S ''N ''S ''D ''n S R G R S R m g R S ''D ''n ''D S'
240,'pakad','''N r G m d m d M m G M G r S'
241,'pakad','''N r M G P M d N d P M G M r G r S'
242,'pakad','''P ''N S R G S R P m G R S P D m P S'' P'
243,'pakad','''d n S m g m d g m g ''n S'
244,'pakad','''n S R P m R ''n R S m P n P m R m R S'' n S'
245,'pakad','''n S g g m P g m R S'
246,'pakad','''n S g m P g m g R n S'
247,'pakad','D M G r G M G r ''N S'
248,'pakad','D M P g M g R S'
249,'pakad','D N D P D P M m R S'
250,'pakad','D P m R S m'
251,'pakad','D S R m G P m G R S ''n ''D ''P'
252,'pakad','D n D P M G m G R'
253,'pakad','D n D P m G R G R S'
254,'pakad','D n s m m P D m g R S'
255,'pakad','G M P D P M G R S'
256,'pakad','G M P N D M G M G R S R S'
257,'pakad','G M P N S'' N P M P G M P'
258,'pakad','G N r'' S M G r G ''N r S'
259,'pakad','G P D N D P P G r'
260,'pakad','G P M d S'' N P G M G r S'
261,'pakad','G P d G P G r S'
262,'pakad','G R G P m G m R S S R'
263,'pakad','G R P D N S'
264,'pakad','G R g S N'' S R m P D m G R g S'
265,'pakad','G R m G P R S'
266,'pakad','G m D N S'''
267,'pakad','G m G R ''N R ''N G G R ''N S'
268,'pakad','G m P D N S'''
269,'pakad','G m P g R S'' N S'
270,'pakad','G m P g m g R S'
271,'pakad','G m d d P G m M d M m G m'
272,'pakad','G m g R S ''N S ''D ''n  S G m'
273,'pakad','G m n D P D m G P'
274,'pakad','G m n D P P m G R G m P m G R S'
275,'pakad','G m r G m G G M D M G G r S'
276,'pakad','M D N D P D M m G M G r S'
277,'pakad','M D N D P D M m G M r  S'
278,'pakad','M D N S r'' S S N D M D G'
279,'pakad','M D S'' N D M D M G r S S m G M D N D N M D'
280,'pakad','M P  d n d P G m R S G m P'
281,'pakad','M P D P m P m S R S'
282,'pakad','M d N d M g r g r S'
283,'pakad','M d S N d P M G M G G M r G M G r S S m G M d N S'
284,'pakad','M d r'' S'' N d P M G M G'
285,'pakad','N D P M G M D M G r S'
286,'pakad','N S g m P g m g R n S'
287,'pakad','N d P d m M d M G r G r S'
288,'pakad',''
289,'pakad','P D P S R S'
290,'pakad','P D m P g r S r ''n S'
291,'pakad','P D n D P G R S ''n ''D S'
292,'pakad','P D n D m g r g S'
293,'pakad','P G M G R S S m G S G M P'
294,'pakad','P G m G R S'
295,'pakad','P R G m P m G m R S'
296,'pakad','P d P M G m r G M G r S'
297,'pakad','P d P m G r S'' N S r G m G r G r S'
298,'pakad','P d n d P G m R S'
299,'pakad','P m G m m n D P m G m R S'
300,'pakad','P n D N S'' R'' d d n P'
301,'pakad','P n P m G m g r g r S'
302,'pakad','P n P m g R S'
303,'pakad','P n S'' D P G m R S'
304,'pakad','R ''n S g m P d D n P S'' n D P'
305,'pakad','R G P R G P N P G R S'
306,'pakad','R G m P D G m R G ''N S ''D ''n R'
307,'pakad','R M P R m R S'' N ''P ''N ''D S ''N R S'
308,'pakad','R M P n D P m R'
309,'pakad','R P G m R ''N S'
310,'pakad','R P g m R S ''n '' D ''N S'
311,'pakad','R R S ''n S m R p m R n S'
312,'pakad','R m P d P g r g r S R G m P D n S'' R'' n d P m P g r g r S'
313,'pakad','R m P d P n d S n d P'
314,'pakad','R m P n D P'
315,'pakad','R m P n D P D m G R G ''N S'
316,'pakad','S ''D ''P ''D ''m ''G ''P ''D ''S'
317,'pakad','S ''D ''P ''D S R G P G P  R S'
318,'pakad','S ''N ''P ''N ''D S G P G R S'
319,'pakad','S ''d S S r d d P G m r s'
320,'pakad','S ''n ''n S S R g g m R S'
321,'pakad','S D P D S'' D P D G P G P D P G R S R'' D S'
322,'pakad','S D m P G P G r S'
323,'pakad','S G G m S g ''n g S'
324,'pakad','S G M N D M G S'
325,'pakad','S G P P D P P G P G S R S S P D P S'' P D P G S'
326,'pakad','S G R SğD S R G'
327,'pakad','S G m P G m R G m P m G m R S'
328,'pakad','S G m P G m d P G m P G m r S'
329,'pakad','S P G r G P M D S'' r'' N D P G r S'
330,'pakad','S P M P G S'
331,'pakad','S R G R G R G R P G R G S R ''D S'
332,'pakad','S R G m P d P m g R g S'
333,'pakad','S R G m d P G m R S R ''N ''d S'
334,'pakad','S R G m m R P D n P m P'
335,'pakad','S R G m m R P n D n P m G m R S'
336,'pakad','S R M P D P m R S'
337,'pakad','S R P g m P g m R S'
338,'pakad','S R R g m P m P m P m P g R'
339,'pakad','S R g R S ''d ''n R S'
340,'pakad','S R m P D m P G S R P m'
341,'pakad','S R m n P m R m ''N R S'
342,'pakad','S d n S'' d n P M P g M R s'
343,'pakad','S m P g m n D N S'' N d S'' N d P M G M G M G r S'
344,'pakad','S m m P d N S'' d P m S'
345,'pakad','S m m P g m n D N S'''
346,'pakad','S n D n n P m R S R g'
347,'pakad','S r ''N ''d ''N P d M G M G r G'
348,'pakad','S r G M G M r _ _ _ r S'
349,'pakad','S r P d P S'' N d P G P G r'
350,'pakad','S r d S r g r S'
351,'pakad','S r g P d P G S r G r G'
352,'pakad','S'' D n P g m R S'
353,'pakad','S'' G m P P n D P m P g R S'
354,'pakad','S'' N d P M P d P G m G M G r S'
355,'pakad','S'' n d P D D n D P m G m g S'
356,'pakad','S'' r'' N D M m G m r S'
357,'pakad','S'' r'' n d g P d n d m g r g r S'
358,'pakad','d m P d m P g g m r S'
359,'pakad','g M d M d N d N d P M d M g r g r g r S'
360,'pakad','g m P N D N S'' D P m P g'
361,'pakad','g m P d d'' S'' r'' n d P d n d P m'
362,'pakad','g m g ''N g S'
363,'pakad','g m n P g R S'
364,'pakad','m D N S'' S'' N d m'
365,'pakad','m N D S'' N r'' N d P P D G M G r S'
366,'pakad','m P D P D m R P m R ''D S'
367,'pakad','m P D S'' n d P D m P D S'''
368,'pakad','m P D m P N S'' R'' n D P m G m P g R S'
369,'pakad','m P D n G m G R S'
370,'pakad','m P N S'' n P G m G S'
371,'pakad','m P d m P g R S R n S R G m'
372,'pakad','m P d n S n d P m P g R m P d P'
373,'pakad','m P d r'' S'' N d P m G r S'
374,'pakad','m R S S ''d ''P ''m ''P ''P ''N ''N S'
375,'pakad','m d P d m P G m r G r S r S ''N'
376,'pakad','m g R ''N S ''D ''N S'
377,'pakad','n D P D G m G R S'
378,'pakad','n D P D P m P G S'
379,'pakad','n D n P m P g m R S'
380,'pakad','n P m R m R ''N S'
381,'pakad','n S g m d P g m P g m r S'
382,'pakad','n S'' g'' R'' S'' n D m G R S'
383,'pakad','r G m P S'' D n P m G m r'
384,'pakad','r m P d d P m r r ''d S'
385,'pakad','r r P M P d M G r S M P N S'' r'' N d P'
,,
